hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha
2024-04-09 09:47:00,500.0,2,0,1.0,0,487.0,,,,508.0,0.0,2024-04-09
2024-06-09 09:16:00,2273.0,6,0,20.0,2,2366.0,,1.0,,2345.0,0.0,2024-06-09
2024-09-09 09:25:00,1223.0,7,0,6.0,0,1173.0,,,,1277.0,0.0,2024-09-09
2024-09-09 09:57:00,895.0,4,0,,0,913.0,,,,926.0,0.0,2024-09-09
2024-10-09 13:17:00,2302.0,1,0,6.0,1,2302.0,,,,2344.0,-2.0,2024-10-09
2024-09-13 09:44:00,1621.0,2,0,6.0,0,1672.0,,1.0,,1695.0,0.0,2024-09-13
2024-09-15 18:43:00,11531.0,14,0,104.0,1,11795.0,,,,11810.0,0.0,2024-09-15
2024-09-20 10:30:00,4924.0,7,0,59.0,0,5192.0,,1.0,,5123.0,0.0,2024-09-20
2024-09-25 10:07:00,3570.0,5,0,15.0,0,3675.0,,,,3642.0,0.0,2024-09-25
2024-09-30 09:20:00,2172.0,4,0,9.0,0,2247.0,,,,2232.0,0.0,2024-09-30
2024-07-25 10:45:00,324.0,1,0,2.0,0,412.0,,,,330.0,-2.0,2024-07-25
2023-01-04 10:58:00,1066.0,2,0,4.0,0,1074.0,,,,,-2.0,2023-01-04
2023-01-04 16:49:00,1200.0,0,0,7.0,0,1196.0,,,,,0.0,2023-01-04
2023-03-04 16:10:00,519.0,5,1,3.0,1,523.0,,,,,-2.0,2023-03-04
2023-05-04 13:42:00,1897.0,3,0,11.0,0,1908.0,,,,,0.0,2023-05-04
2023-06-04 17:08:00,1271.0,4,0,6.0,0,1327.0,,,,,-2.0,2023-06-04
2023-04-13 17:27:00,1767.0,5,0,16.0,2,1802.0,,,,,0.0,2023-04-13
2023-04-19 11:38:00,505.0,0,0,1.0,1,506.0,,,,,0.0,2023-04-19
2023-04-20 12:45:00,1212.0,4,0,19.0,0,1276.0,,,,,0.0,2023-04-20
2023-04-22 13:51:00,3239.0,8,0,24.0,1,3244.0,,,,,0.0,2023-04-22
2023-04-26 17:35:00,1053.0,1,0,10.0,2,1068.0,,,2.0,,0.0,2023-04-26
2023-04-27 19:14:00,738.0,3,0,6.0,0,732.0,,,,,0.0,2023-04-27
2023-04-27 19:17:00,464.0,2,0,2.0,0,467.0,,,,,0.0,2023-04-27
2023-04-28 10:32:00,674.0,3,0,6.0,0,648.0,,,,,0.0,2023-04-28
2023-04-28 10:35:00,498.0,2,0,3.0,0,485.0,,,,,0.0,2023-04-28
2023-04-28 10:37:00,430.0,0,0,2.0,0,424.0,,,,,-2.0,2023-04-28
2023-04-28 23:44:00,1059.0,2,0,7.0,0,1048.0,,,,,-2.0,2023-04-28
2023-04-29 14:58:00,1013.0,1,0,3.0,0,1013.0,,,,,0.0,2023-04-29
2023-04-30 19:20:00,1156.0,1,0,4.0,0,1149.0,,,,,-2.0,2023-04-30
2023-04-30 19:20:00,872.0,1,0,2.0,0,872.0,,,,,-2.0,2023-04-30
2023-04-30 19:20:00,810.0,3,0,5.0,1,805.0,,,,,-2.0,2023-04-30
2023-04-30 19:20:00,773.0,1,0,,0,769.0,,,,,-2.0,2023-04-30
2023-04-30 19:20:00,747.0,3,0,3.0,0,745.0,,,,,-2.0,2023-04-30
2023-04-30 19:20:00,705.0,5,0,3.0,0,704.0,,,,,0.0,2023-04-30
2023-01-05 11:26:00,1143.0,2,0,3.0,1,1137.0,,,,,-2.0,2023-01-05
2023-03-05 05:13:00,1029.0,2,0,9.0,0,1033.0,,,,,0.0,2023-03-05
2023-03-05 08:14:00,815.0,7,0,10.0,2,830.0,,,,,0.0,2023-03-05
2023-04-05 14:55:00,1806.0,8,0,12.0,1,1702.0,,,,,0.0,2023-04-05
2023-05-05 08:40:00,1783.0,5,0,9.0,1,1734.0,,,,,0.0,2023-05-05
2023-09-05 06:23:00,779.0,1,0,6.0,0,753.0,,,,,0.0,2023-09-05
