hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
