"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos,"Clics en el enlace"
17995071296321027,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,11,"09/03/2023 09:41",,"Historia de Instagram",,Total,152,0,0,,0,146,,,
17843820720055033,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"09/03/2023 09:41",,"Historia de Instagram",,Total,161,0,0,1,0,154,,,
17900183381845446,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/03/2023 09:41",,"Historia de Instagram",,Total,165,0,0,,0,154,,,
17969842835394323,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/03/2023 09:41",,"Historia de Instagram",,Total,171,0,0,,0,157,,,
17858536736993842,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/03/2023 09:41",,"Historia de Instagram",,Total,178,1,0,,0,163,,,
17920427180785964,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"09/03/2023 09:41",,"Historia de Instagram",,Total,187,0,0,,0,164,,,
17915121479712958,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"09/03/2023 09:41",,"Historia de Instagram",,Total,207,0,0,1,0,194,,,
18193526146263828,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/03/2023 09:41",,"Historia de Instagram",,Total,248,0,0,3,0,254,,,
17882934821925793,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Un año más de vida, oportunidad para mirar todo lo que creé!",15,"09/03/2023 09:41",,"Historia de Instagram",,Total,395,1,0,,0,420,,,
17969707445402684,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Comenzando bien mi cumpleaños",0,"09/02/2023 10:54",,"Historia de Instagram",,Total,1721,12,0,7,2,1731,,,
17992565546326833,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/01/2023 18:26",,"Historia de Instagram",,Total,624,0,0,7,1,657,,,
18029693566605447,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/31/2023 14:03",,"Historia de Instagram",,Total,1117,5,0,5,1,1062,,,
18222530233222491,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,24,"08/21/2023 11:12",,"Historia de Instagram",,Total,591,8,0,4,2,608,,,
18306836962104384,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,"08/20/2023 13:16",,"Historia de Instagram",,Total,719,3,0,2,0,693,,,
17977719671252230,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/20/2023 13:13",,"Historia de Instagram",,Total,1068,4,0,2,1,1034,,,
18001129487058994,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Preparándome para una sesión de fotos para el lanzamiento de @magosdelcorazon",3,"08/19/2023 14:44",,"Historia de Instagram",,Total,1617,8,0,15,0,1377,2,,
18009288301871437,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,42,"08/18/2023 13:45",,"Historia de Instagram",,Total,507,3,0,2,1,515,,,1
18003984070823912,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/14/2023 11:35",,"Historia de Instagram",,Total,1782,1,0,10,2,1779,,,
18027276922588131,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Just saying",0,"08/12/2023 20:43",,"Historia de Instagram",,Total,744,3,0,5,0,749,,,
18019411981646887,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Aquí sacando 
Al  Sergio el Bailador",9,"08/12/2023 20:22",,"Historia de Instagram",,Total,983,2,0,6,0,975,,,
17842474851049633,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Qué tengas buen fin de semana!",5,"08/11/2023 17:27",,"Historia de Instagram",,Total,760,1,0,11,0,760,,,
17963183906466717,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Gracias a @sumando2021 por el espacio de hoy",0,"08/10/2023 15:04",,"Historia de Instagram",,Total,563,1,0,3,0,579,2,,
17961612074622172,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Si están en Argentina me pueden escuchar al rato",0,"08/10/2023 09:19",,"Historia de Instagram",,Total,567,2,1,2,0,581,,,
18220036261221190,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/08/2023 18:48",https://instagram.com/stories/jessonirica/3165237393187253747,"Historia de Instagram",,Total,529,6,0,2,0,495,,,3
17982030215346788,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"08/07/2023 19:02",,"Historia de Instagram",,Total,331,4,0,1,0,322,,,
18103990501328023,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"08/07/2023 13:39",,"Historia de Instagram",,Total,507,0,0,5,0,483,,,
18054508651451719,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"08/07/2023 07:29",,"Historia de Instagram",,Total,724,6,0,11,0,657,,,
