"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,"Me gusta","Veces que se compartió",Respuestas,Alcance,"Visitas al perfil",Navegación,Seguimientos,"Clics en el enlace","Toques en stickers"
17990189329734829,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Lectura para la luna nueva  @themoonismycalendar",6,"01/21/2023 07:29",,"Historia de Instagram",,Total,2,0,0,,,,,,
18013489978507853,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Es un honor ser parte de la Fundación @ekrmexico",0,"01/20/2023 10:23",,"Historia de Instagram",,Total,1,0,0,,,,,,
17861193683862847,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/18/2023 08:30",,"Historia de Instagram",,Total,5,0,0,,,,,,
17972690885068914,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,46,"01/17/2023 08:50",,"Historia de Instagram",,Total,1,0,0,,,,,,
18088752265314088,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"01/16/2023 18:41",,"Historia de Instagram",,Total,2,0,0,,,,,,
17962129184237118,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya empezamos el círculo de sueños!",0,"01/16/2023 17:20",,"Historia de Instagram",,Total,7,0,0,,,,,,
17956010867342740,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,30,"01/16/2023 11:22",,"Historia de Instagram",,Total,7,0,0,,,,,,
17987275039752447,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Cambios,5,"01/16/2023 08:55",,"Historia de Instagram",,Total,4,0,0,,,,,,
17971063448064768,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Un mensaje para comenzar la semana",8,"01/16/2023 08:54",,"Historia de Instagram",,Total,4,0,0,,,,,,
17953482914218010,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"01/15/2023 15:03",,"Historia de Instagram",,Total,11,0,0,,,,,,
17980691428880037,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,30,"01/13/2023 15:36",,"Historia de Instagram",,Total,13,0,0,,,,,,
18021685669467159,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Cuenta regresiva!",0,"01/12/2023 13:49",,"Historia de Instagram",,Total,3,0,0,,,,,,
18003229534570308,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"01/12/2023 10:38",,"Historia de Instagram",,Total,6,0,0,,,,,,
18033549457427726,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,16,"01/12/2023 10:08",,"Historia de Instagram",,Total,10,0,0,,,,,,
17970505918917951,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"01/11/2023 10:48",,"Historia de Instagram",,Total,4,0,0,,,,,,
17950220429396507,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buenos días!",0,"01/11/2023 07:02",,"Historia de Instagram",,Total,6,0,0,,,,,,
17978817646913118,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya tengo muchas preguntas para la transmisión de al rato.
Ahí te espero!",3,"01/10/2023 11:50",,"Historia de Instagram",,Total,7,0,0,,,,,,
17934420959610838,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"01/09/2023 17:26",,"Historia de Instagram",,Total,6,0,0,170,4,,,,
17972258654055108,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/09/2023 17:25",https://instagram.com/stories/jessonirica/3012298332760832394,"Historia de Instagram",,Total,7,0,0,268,1,,,,
17854186166865274,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Eres Luz",3,"01/09/2023 10:31",,"Historia de Instagram",,Total,2,0,0,,,,,,
18020562475476887,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Te regalo un mensaje para comenzar la semana",13,"01/09/2023 10:30",,"Historia de Instagram",,Total,9,0,0,,,,,,
17962323986187219,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Oficialmente se acabó el Guadalupe -Reyes",0,"01/08/2023 13:04",,"Historia de Instagram",,Total,5,0,0,,,,,,
17952671939199849,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡A ahorrar para los tamales!",0,"01/08/2023 08:58",,"Historia de Instagram",,Total,4,0,0,,,,,,
18264852451119921,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/07/2023 09:41",,"Historia de Instagram",,Total,2,0,0,,,,,,
18160282447282815,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:14",,"Historia de Instagram",,Total,2,0,0,,,,,,
17967861571961183,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,1,0,0,,,,,,
17922076715644106,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,1,0,0,,,,,,
18200137564212390,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,1,0,0,,,,,,
18170511118261140,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,1,0,0,,,,,,
17989247059674185,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/01/2023 16:17",,"Historia de Instagram",,Total,4,0,0
