"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos
18272287363240544,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Yo: Todos los sueños tienen significado 

Mis sueños:",20,"08/12/2024 11:09",,"Historia de Instagram",,Total,683,661,1,2,3,1,809,,
18052919782763936,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","He notado que estoy también pasa con los sueños... A veces cuándo les haces preguntas te responden que decidas tú...",15,"08/13/2024 08:56",,"Historia de Instagram",,Total,343,331,5,0,4,0,391,,
18333787006124814,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Todos los sueños tienen significado 
Mis sueños:",15,"08/13/2024 09:12",,"Historia de Instagram",,Total,239,235,3,0,,0,283,,
18037973585095531,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Muchas gracias a @myacafemx 

Por la coffee experience, la disfruté mucho!",15,"08/19/2024 08:15",,"Historia de Instagram",,Total,348,327,5,0,5,0,365,,
18301962391162783,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mya significa SUEÑO
en ruso
Y el café es parte
Importante de mi
vida, cómo los
Sueños!",0,"08/19/2024 08:20",,"Historia de Instagram",,Total,240,238,7,0,3,0,254,,
18058765306638067,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Recordando mis primeros videos 🤣",12,"08/20/2024 18:35",,"Historia de Instagram",,Total,1481,1433,4,0,7,0,1370,,
18024890534096696,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Si quieres compartir tu respuesta, ve a mi canal de IG",0,"08/21/2024 14:57",,"Historia de Instagram",,Total,576,544,0,0,8,0,567,,
18054619522781001,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy tuve 
Un día colorido",0,"08/24/2024 17:44",,"Historia de Instagram",,Total,22663,21867,33,0,445,1,23058,,1
18051318214834129,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy comencé el día reecontrándome con una amiga",0,"08/26/2024 12:31",,"Historia de Instagram",,Total,1260,1212,7,0,7,1,1138,,
17913888707896068,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/26/2024 12:33",,"Historia de Instagram",,Total,921,910,0,0,7,0,923,,
18035120752938962,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Todos los
Sueños 
Tienen 
Significado",0,"08/27/2024 16:00",,"Historia de Instagram",,Total,3553,3444,9,0,22,1,3621,,
18054237958746936,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/28/2024 10:54",,"Historia de Instagram",,Total,2929,2859,8,0,8,0,2879,,
