"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,Seguimientos,"Toques en stickers","Clics en el enlace"
17885905979791841,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2023 14:49",,"Historia de Instagram",,Total,638,0,0,4,0,636,,,
18219609673210312,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2023 14:51",,"Historia de Instagram",,Total,413,0,0,,0,406,,,
17890432277824492,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2023 14:51",,"Historia de Instagram",,Total,358,0,0,,1,372,,,
18067136650378242,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2023 14:52",,"Historia de Instagram",,Total,333,0,0,,0,326,,,
18295478917096303,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2023 14:52",,"Historia de Instagram",,Total,319,0,0,,0,309,,,
18003264046809171,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2023 14:52",,"Historia de Instagram",,Total,306,0,0,,0,298,,,
17938465025549183,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Quieres saber más?",3,"05/22/2023 14:55",,"Historia de Instagram",,Total,290,0,0,,0,276,,,5
18000499300827482,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"05/22/2023 19:53",,"Historia de Instagram",,Total,400,2,0,3,1,405,,,
17991677242975698,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/24/2023 06:08",,"Historia de Instagram",,Total,770,3,0,7,1,816,,,
17985252833103449,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,60,"05/24/2023 09:01",,"Historia de Instagram",,Total,474,4,1,2,1,517,,,
18258819424197419,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,17,"05/24/2023 09:11",,"Historia de Instagram",,Total,383,1,0,5,0,408,1,,5
17954906303605731,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy es el
Día Mundial
Del tarot",0,"05/25/2023 09:48",,"Historia de Instagram",,Total,798,4,0,4,0,822,,,
17871364235913081,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/25/2023 14:46",,"Historia de Instagram",,Total,552,0,0,1,0,561,,,
18039541525462038,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cuando la vida es un sueño",6,"05/25/2023 16:08",,"Historia de Instagram",,Total,471,1,0,1,0,414,,,
17989300220058178,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy es el
Día internacional de
Drácula",3,"05/26/2023 08:37",,"Historia de Instagram",,Total,535,0,0,1,0,494,,,
18006383911685419,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/29/2023 06:45",,"Historia de Instagram",,Total,791,0,0,8,0,826,,,
17875794686840217,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Lugares de ensueño",15,"05/29/2023 10:41",,"Historia de Instagram",,Total,390,6,0,2,0,399,,,
18192553858255857,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"05/29/2023 13:26",,"Historia de Instagram",,Total,308,2,0,2,0,287,,,
17967977708521693,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"06/02/2023 12:50",,"Historia de Instagram",,Total,549,0,0,1,0,515,,,
18003607372826713,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"06/02/2023 12:51",,"Historia de Instagram",,Total,349,0,0,1,0,330,,,
17993567488834983,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Déjame un comentario si quieres más información",3,"06/02/2023 12:53",,"Historia de Instagram",,Total,302,0,0,2,1,276,,,
17958263189536963,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Gracias a las asistentes a la clase ""Explorando los personajes de tus sueños""",0,"06/03/2023 13:15",,"Historia de Instagram",,Total,3672,2,0,14,0,3257,,,
17994709573948093,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"06/05/2023 08:46",,"Historia de Instagram",,Total,494,0,0,3,0,458,,,
18194086159264615,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Elige un
Mensaje",3,"06/12/2023 06:43",,"Historia de Instagram",,Total,560,0,0,1,0,496,1,,
17957672150445372,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"06/12/2023 06:44",,"Historia de Instagram",,Total,397,0,0,,0,373,,,
17874183056868020,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"06/12/2023 06:45",,"Historia de Instagram",,Total,353,0,0,4,0,343,,,
18018229747593841,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"06/12/2023 17:52",,"Historia de Instagram",,Total,479,3,0,,0,490,,,
18014619424626131,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"06/12/2023 20:02",,"Historia de Instagram",,Total,444,1,0,1,2,436,,,
17988589433088648,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"06/13/2023 08:21",,"Historia de Instagram",,Total,538,1,0,7,0,559,,,
18251903440082561,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"06/14/2023 11:06",,"Historia de Instagram",,Total,520,1,0,2,1,395,,,
17959119155549725,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"06/14/2023 11:07",,"Historia de Instagram",,Total,485,0,0,8,1,524,,,
17981249405504192,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"06/16/2023 10:58",,"Historia de Instagram",,Total,1098,0,0,9,0,1151,,,
17883084719861594,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Sueños Despiertos",11,"06/18/2023 13:12",,"Historia de Instagram",,Total,1119,4,0,5,0,1132,,,
17935141484678653,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mis comadres",10,"06/18/2023 13:16",,"Historia de Instagram",,Total,750,2,0,4,0,753,,,
17895845753820100,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"06/22/2023 09:44",,"Historia de Instagram",,Total,753,0,0,6,0,775,,,
17993508403838784,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Más altares",0,"04/01/2023 10:57",,"Historia de Instagram",,Total,1394,6,0,3,0,1364,,,
