hora_de_publicacion,descripcion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoria
25/04/2024 14:21,,160,2,0,,0,152,,,,,-2,25/04/2024,IMG_20240425_152211_383.jpg,person,#7f6a7f,happy,Cuerpo Completo
25/04/2024 14:21,,153,3,0,,0,148,,,,,-2,25/04/2024,IMG_20240425_152212_626.jpg,envelope,#5f82b6,neutral,Otro
25/04/2024 17:34,,385,2,0,3,0,395,,,4,,-2,25/04/2024,IMG_20240425_183425_441.jpg,juice,#5e697d,happy,"Comida y Bebida, Selfie"
01/05/2024 16:48,,391,5,0,5,0,452,,,,,-2,01/05/2024,IMG_20240501_174852_821.jpg,promo,#a789b6,surprise,"Selfie, Ofrecimiento, Sticker"
03/05/2024 16:04,,302,0,0,2,0,330,,,,,-2,03/05/2024,IMG_20240503_165952_178.jpg,mural,#716471,happy,Selfie
03/05/2024 16:05,,172,0,0,3,0,210,,,,,-2,03/05/2024,IMG_20240503_165711_342.jpg,seat_belt,#776c80,neutral,Selfie
04/05/2024 15:13,,1516,2,0,7,0,1553,,,,,-2,04/05/2024,IMG_20240504_161343_341.jpg,people,#716f87,happy,Con otras personas
04/05/2024 15:13,,1205,4,0,4,0,1248,,,,,-2,04/05/2024,IMG_20240504_161354_243.jpg,toyshop,#746f83,happy,"Con otras personas, Comida y Bebida"
04/05/2024 15:13,,1116,3,0,6,0,1146,,,,,-2,04/05/2024,IMG_20240504_161356_203.jpg,theater,#6c6a7e,neutral,Otro
04/05/2024 15:13,,1068,2,0,9,1,1082,,,,,-2,04/05/2024,IMG_20240504_161357_968.jpg,people,#6e647e,happy,Otro
04/05/2024 15:13,,994,3,0,15,1,1120,,,,,-2,04/05/2024,IMG_20240504_161359_463.jpg,people,#696574,happy,Con otras personas
06/05/2024 10:58,,167,2,0,,0,185,,,,,-2,06/05/2024,IMG_20240506_105807_119.jpg,journal,#c56f74,sad,Otro
06/05/2024 10:58,,146,1,0,,0,164,,,,,-2,06/05/2024,IMG_20240506_105807_560.jpg,book,#d27c74,happy,Otro
10/05/2024 19:37,,240,4,0,1,0,233,,,,,-2,10/05/2024,IMG_20240510_203821_648.jpg,plate,#717585,happy,"Selfie, Comida y Bebida"
10/05/2024 19:37,,229,4,0,1,1,214,,,,,-2,10/05/2024,IMG_20240510_203822_065.jpg,people,#726370,tender,Con otras personas
10/05/2024 19:37,,222,3,0,1,0,221,,,,,-2,10/05/2024,IMG_20240510_203822_689.jpg,tray,#a9acab,neutral,"Comida y Bebida, Sticker"
13/05/2024 11:27,,312,0,0,2,1,326,,,,,-2,13/05/2024,IMG_20240513_122742_155.jpg,person,#604360,neutral,"Sticker, Selfie"
13/05/2024 11:27,,205,0,0,1,0,211,,,,,-2,13/05/2024,IMG_20240513_122744_822.jpg,person,#714a66,happy,"Sticker, Selfie"
22/05/2024 11:11,,223,1,0,5,0,231,,,,,-2,22/05/2024,IMG_20240522_121148_486.jpg,fur_coat,#8f979f,fear,Cuerpo Completo
22/05/2024 11:11,,151,1,0,2,0,155,,,,,-2,22/05/2024,IMG_20240522_121149_820.jpg,garden,#6f7f76,neutral,Otro
22/05/2024 11:11,,133,1,0,1,0,136,,,,,-2,22/05/2024,IMG_20240522_121150_701.jpg,tree,#615f61,neutral,Cuerpo Completo
22/05/2024 11:11,,119,1,0,,0,126,,,,,-2,22/05/2024,IMG_20240522_121151_924.jpg,person,#653b5f,neutral,"Selfie, Sticker"
22/05/2024 11:11,,116,0,0,,0,119,,,,,-2,22/05/2024,IMG_20240522_121153_867.jpg,sculpture,#8a8681,happy,"Cuerpo Completo, Sticker"
22/05/2024 11:11,,109,0,0,,0,113,,,,,-2,22/05/2024,IMG_20240522_121157_356.jpg,sunglasses,#666f7e,happy,"Selfie, Ofrecimiento"
22/05/2024 11:11,,102,0,0,1,1,112,,,,,-2,22/05/2024,IMG_20240522_121200_500.jpg,promo,#7b516a,happy,"Selfie, Ofrecimiento"
28/05/2024 12:31,,980,3,0,14,3,1129,,,,,-2,28/05/2024,IMG_20240528_133155_716.jpg,person,#5ba9dd,happy,"Sticker, Reposteo"
08/08/2024 08:58,"¡Tengo un nuevo diario de sueños!

¿Ya tienes uno?

#houseofinstagram",343,5,0,1,0,432,,,,351,0,08/08/2024,IMG_20240808_095858_487.jpg,journal,#5e1ca8,neutral,Otro
08/08/2024 09:01,"Cafecito en
#houseofinstagram",200,5,0,2,1,251,,,,201,0,08/08/2024,IMG_20240808_100350_212.jpg,"coffee_,mug",#bf5f82,happy,"Selfie, Comida y Bebida"
