Identificador de la publicación,Identificador de la cuenta,Nombre de usuario de la cuenta,Nombre de la cuenta,Descripción,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Alcance,Me gusta,Veces que se compartió,Visitas al perfil,Respuestas,Navegación,Clics en el enlace,Seguimientos,Toques en stickers,Visualizaciones,sentimiento,hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoría
1.800838985914396e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,0.0,12/13/2023 11:14,<NA>,Historia de Instagram,nan,Total,183.0,1.0,0.0,nan,0.0,195.0,3.0,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.798444855157217e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Tengo algo
Para ti en
la siguiente
Historia!",3.0,12/13/2023 11:14,<NA>,Historia de Instagram,nan,Total,207.0,1.0,0.0,1.0,0.0,189.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.79570467767038e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,0.0,12/13/2023 11:14,<NA>,Historia de Instagram,nan,Total,316.0,1.0,0.0,3.0,0.0,317.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8249836641225176e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",En el Pre Guadalupe - Reyes,0.0,12/10/2023 13:19,<NA>,Historia de Instagram,nan,Total,4225.0,1.0,0.0,23.0,0.0,4257.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8002356781257032e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,3.0,12/09/2023 08:55,<NA>,Historia de Instagram,nan,Total,316.0,1.0,0.0,nan,0.0,305.0,3.0,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7976608045630164e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Estuvo reñida la votación! Ya te puedes registrar al conversatorio en la siguiente historia,4.0,12/09/2023 08:53,<NA>,Historia de Instagram,nan,Total,492.0,1.0,0.0,4.0,0.0,452.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7989877630298072e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Qué tema prefieres
para la siguiente clase
gratuita?",0.0,12/08/2023 07:53,<NA>,Historia de Instagram,nan,Total,526.0,6.0,0.0,1.0,3.0,528.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.821643691526539e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Gracias a quienes asistieron al webinar ayer!,0.0,12/08/2023 07:40,<NA>,Historia de Instagram,nan,Total,627.0,1.0,0.0,2.0,1.0,614.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.794730763072546e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Para registrarte!,5.0,12/05/2023 12:04,<NA>,Historia de Instagram,nan,Total,225.0,1.0,0.0,1.0,1.0,218.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.801848620879757e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Buen provecho!,0.0,12/05/2023 12:00,<NA>,Historia de Instagram,nan,Total,360.0,3.0,0.0,2.0,0.0,366.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
